satellite_id,OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,operator,orbit_type,eccentricity_risk
458,SES-17,2021-095A,2026-06-18T14:18:52.046208,1.00269036,8.114e-05,0.0267,40.8266,45.0665,328.5524,0,U,49332,999,1786,0,-2.78e-06,0,GEO,GEO,0.08114
459,SYRACUSE 4A,2021-095B,2026-06-19T06:14:56.927040,1.0026875,0.00016356,0.0178,11.5381,69.1185,326.0593,0,U,49333,999,1796,0,1.29e-06,0,GEO,GEO,0.16356
460,QZS-1R (MICHIBIKI-1R),2021-096A,2026-06-19T15:10:55.566912,1.00254705,0.07548004,37.4674,79.546,271.8525,278.0167,0,U,49336,999,1703,0,-2.9e-06,0,GEO,NON_GEO,75.48004
461,ZHONGXING-1D,2021-114A,2026-06-21T21:57:29.462976,1.0027506,2.82e-05,0.0408,166.9763,28.8668,173.7879,0,U,49505,999,1686,0,-3.36e-06,0,GEO,GEO,0.0282
462,STPSAT-6,2021-118A,2026-06-20T10:42:38.884032,1.00269666,0.0001185,0.3304,85.3568,256.6364,335.6712,0,U,49817,999,1660,0,-5e-07,0,GEO,GEO,0.1185
463,EXPRESS AMU-7,2021-123A,2026-06-21T22:01:44.056992,1.00272286,3.8e-06,0.0163,288.9404,247.1321,209.4669,0,U,50001,999,1658,0,-2.42e-06,0,GEO,GEO,0.0038
464,EXPRESS AMU-3,2021-123B,2026-06-20T23:11:44.489760,1.00269559,4e-05,0.0209,335.7514,303.9567,80.2873,0,U,50002,999,707,0,0.0,0,GEO,GEO,0.04
465,TIANLIAN 2-02,2021-124A,2026-06-21T20:26:22.774272,1.00281719,0.0001195,0.8148,86.0573,167.1157,134.4235,0,U,50005,999,1666,0,-1.3e-07,0,GEO,GEO,0.1195
466,TURKSAT 5B,2021-126A,2026-06-19T02:48:36.163008,1.00271147,0.00032341,0.0673,343.7991,12.4246,355.2631,0,U,50212,999,1631,0,1.4e-06,0,GEO,GEO,0.32341
467,INMARSAT 6-F1,2021-128A,2026-06-18T20:09:55.247328,1.00270212,3.03e-05,0.0186,327.5438,244.7765,80.9907,0,U,50319,999,1627,0,-1.78e-06,0,GEO,GEO,0.0303
468,SHIYAN-12 01 (SY-12 01),2021-129A,2026-06-20T00:10:51.932928,1.00040617,0.0003238,3.6828,79.8734,288.0982,320.7124,0,U,50321,999,1652,0,9.1e-07,0,GEO,GEO,0.3238
469,SHIYAN-12 02 (SY-12 02),2021-129B,2026-06-20T08:07:51.361824,1.00488779,0.0002777,3.6832,79.8744,58.4175,343.5989,0,U,50322,999,1653,0,-2.85e-06,0,GEO,GEO,0.2776999999999999
470,TJS-9,2021-135A,2026-06-21T21:59:29.272128,1.0027347,0.0003758,0.0357,216.6604,199.155,321.3825,0,U,50574,999,1647,0,-2.98e-06,0,GEO,GEO,0.3757999999999999
471,USA 324,2022-006A,2026-06-06T02:06:38.886912,1.00289779,0.000284,0.769,83.2777,165.6787,110.1567,0,U,51280,999,1602,0,-5.8e-07,0,GEO,GEO,0.284
472,GOES 18,2022-021A,2026-06-19T22:29:21.715296,1.0027195,4.251e-05,0.0372,171.734,325.467,331.2805,0,U,51850,999,662,0,9.1e-07,0,GEO,GEO,0.04251
473,ZHONGXING-6D,2022-038A,2026-06-20T21:43:48.403776,1.00268056,4.21e-05,0.0102,344.3774,120.1595,255.4678,0,U,52255,999,1546,0,0.0,0,GEO,GEO,0.0421
474,NILESAT 301,2022-061A,2026-06-20T09:22:27.592896,1.00271181,0.0004675,0.0507,20.7867,36.9855,344.4364,0,U,52817,999,1476,0,-6.2e-07,0,GEO,GEO,0.4674999999999999
475,CMS-02 (GSAT-24),2022-067A,2026-06-20T09:48:13.713120,1.00271954,0.0001803,0.0494,253.6008,114.3593,130.7262,0,U,52903,999,1464,0,-1.69e-06,0,GEO,GEO,0.1803
476,MEASAT 3D,2022-067B,2026-06-20T09:50:35.986272,1.00271559,0.0001345,0.0265,352.1472,25.8731,129.749,0,U,52904,999,1468,0,-2.46e-06,0,GEO,GEO,0.1344999999999999
477,SES-22,2022-071A,2026-06-20T08:44:52.380096,1.00272735,0.0001394,0.0091,34.4553,43.1756,183.1477,0,U,52933,999,755,0,1e-06,0,GEO,GEO,0.1394
478,WFOV (USA 332),2022-073A,2026-06-20T10:42:20.562048,1.00273601,0.0002017,3.7203,78.4896,255.7442,214.2717,0,U,52940,999,1440,0,-3.67e-06,0,GEO,GEO,0.2017
479,TIANLIAN 2-03,2022-078A,2026-06-20T06:02:12.782112,1.00271393,0.0001322,0.6787,77.0936,333.4102,319.0912,0,U,53100,999,1457,0,6.7e-07,0,GEO,GEO,0.1321999999999999
480,SBIRS GEO-6 (USA 336),2022-092A,2026-06-20T11:09:54.844704,1.00270925,0.0001883,3.2514,317.5627,121.1257,136.4655,0,U,53355,999,1426,0,-2.97e-06,0,GEO,GEO,0.1883
481,ZHONGXING-1E,2022-112A,2026-06-21T13:10:13.677888,1.00272232,5.61e-05,0.0421,183.4778,137.9279,227.3046,0,U,53813,999,1389,0,-1.51e-06,0,GEO,GEO,0.0561
482,SES-20,2022-123A,2026-06-19T20:56:24.158112,1.00271156,0.00018191,0.0296,69.4323,12.2949,37.3554,0,U,53960,999,1356,0,-1.06e-06,0,GEO,GEO,0.18191
483,SES-21,2022-123B,2026-06-20T09:28:38.667936,1.00268958,0.0001006,0.0398,21.6419,72.4818,185.7194,0,U,53961,999,724,0,0.0,0,GEO,GEO,0.1006
484,GALAXY 33 (G-33),2022-128A,2026-06-20T09:28:38.667936,1.00270656,0.0001741,0.0225,55.3005,30.1498,192.3075,0,U,54026,999,1377,0,7.5e-07,0,GEO,GEO,0.1741
485,GALAXY 34 (G-34),2022-128B,2026-06-20T00:50:38.717376,1.00275411,0.00017584,0.0124,53.5288,53.8534,44.5334,0,U,54027,999,1394,0,5.3e-07,0,GEO,GEO,0.17584
486,ANGOSAT 2,2022-131A,2026-06-21T12:53:37.428000,1.00273779,7.25e-05,0.0299,100.6416,327.5424,57.951,0,U,54033,999,1352,0,1.34e-06,0,GEO,GEO,0.0725
487,LDPE-2,2022-144A,2026-06-20T08:40:22.812096,1.00534001,0.0001867,5.6217,63.6302,98.8441,81.6912,0,U,54219,999,1187,0,1.19e-06,0,GEO,NON_GEO,0.1867
488,ZHONGXING-19,2022-148A,2026-06-21T12:07:38.862624,1.00272048,0.0002531,0.0171,64.7588,46.9675,143.0775,0,U,54230,999,1342,0,-8.3e-07,0,GEO,GEO,0.2531
489,GALAXY 31 (G-31),2022-153A,2026-06-20T05:24:41.082336,1.00272126,0.000117,0.025,88.2921,352.9233,147.3806,0,U,54243,999,716,0,8e-08,0,GEO,GEO,0.1169999999999999
490,GALAXY 32 (G-32),2022-153B,2026-06-20T05:33:04.082400,1.00271613,0.0002075,0.0157,36.0739,1.5238,223.1141,0,U,54244,999,1317,0,-1.79e-06,0,GEO,GEO,0.2075
491,GALAXY 35 (G-35),2022-170A,2026-06-20T08:57:52.450272,1.0027192,0.0001886,0.0184,78.3754,7.7151,223.8506,0,U,54741,999,1292,0,-1.67e-06,0,GEO,GEO,0.1886
492,GALAXY 36 (G-36),2022-170B,2026-06-20T08:59:07.328832,1.00272198,0.0002602,0.0027,66.1363,18.0076,230.2209,0,U,54742,999,1280,0,-1.9e-06,0,GEO,GEO,0.2602
